,Bezeichnung Bohrung,Klassifizierung nach Grenzlehrdorn,Klassifizierung nach Messchraube,Klassifizierung nach Messtaster,Messwert Innenmessschraube,Messwert Messtaster,Unnamed: 0,Unnamed: 6
639,,n.i.O.,n.i.O.,n.i.O.,12.027000000000001,12.038,1855.0,
640,,i.O.,n.i.O.,n.i.O.,12.027000000000001,12.032,1856.0,
641,,n.i.O.,n.i.O.,n.i.O.,12.019,12.025,1857.0,
642,,n.i.O.,n.i.O.,n.i.O.,12.022,12.027000000000001,1858.0,
643,,i.O.,i.O.,n.i.O.,12.015999999999998,12.025,1859.0,
644,,n.i.O.,n.i.O.,n.i.O.,12.023,12.029000000000002,1860.0,
645,,i.O.,i.O.,n.i.O.,12.017999999999999,12.025,1861.0,
646,,n.i.O.,n.i.O.,n.i.O.,12.025,12.03,1862.0,
647,,i.O.,n.i.O.,n.i.O.,12.022,12.040999999999999,1863.0,
648,,i.O.,i.O.,n.i.O.,12.015999999999998,12.026,1864.0,
649,,i.O.,i.O.,n.i.O.,12.017000000000001,12.027000000000001,1865.0,
650,,i.O.,i.O.,n.i.O.,12.017999999999999,12.025,1866.0,
651,,i.O.,i.O.,n.i.O.,12.017999999999999,12.037,1867.0,
652,,i.O.,n.i.O.,n.i.O.,12.019,12.033,1868.0,
653,,i.O.,i.O.,n.i.O.,12.017999999999999,12.027999999999999,1869.0,
654,,n.i.O.,n.i.O.,n.i.O.,12.02,12.027000000000001,1870.0,
655,,i.O.,i.O.,n.i.O.,12.015999999999998,12.026,1871.0,
656,,i.O.,i.O.,n.i.O.,12.017000000000001,12.025,1872.0,
657,,i.O.,n.i.O.,n.i.O.,12.022,12.036,1873.0,
658,,i.O.,i.O.,n.i.O.,12.015,12.023,1874.0,
659,,i.O.,i.O.,n.i.O.,12.015999999999998,12.03,1875.0,
660,,i.O.,i.O.,n.i.O.,12.015999999999998,12.03,1876.0,
661,,i.O.,n.i.O.,n.i.O.,12.019,12.027000000000001,1877.0,
662,,i.O.,i.O.,n.i.O.,12.015999999999998,12.025,1878.0,
663,,i.O.,i.O.,n.i.O.,12.017000000000001,12.024000000000001,1879.0,
664,,i.O.,n.i.O.,n.i.O.,12.019,12.029000000000002,1880.0,
665,,i.O.,n.i.O.,n.i.O.,12.020999999999999,12.033,1881.0,
666,,i.O.,n.i.O.,n.i.O.,12.024000000000001,12.040999999999999,1882.0,
667,,n.i.O.,n.i.O.,n.i.O.,12.020999999999999,12.047,1883.0,
668,,n.i.O.,n.i.O.,n.i.O.,12.020999999999999,12.034,1884.0,
669,,i.O.,i.O.,n.i.O.,12.015,12.023,1885.0,
670,,i.O.,i.O.,n.i.O.,12.015999999999998,12.027000000000001,1886.0,
671,,n.i.O.,n.i.O.,n.i.O.,12.025,12.035,1887.0,
672,,i.O.,n.i.O.,n.i.O.,12.019,12.029000000000002,1888.0,
