,Unnamed: 0,12430012063.Energy_Savings.Active_Power_Spindle1,12430012063.Energy_Savings.Active_Power_Z1,12430012063.Main_Spindle.Actual_Position_MCS,12430012063.Main_Spindle.Actual_Power,12430012063.Main_Spindle.Actual_Speed_Rate,12430012063.Main_Spindle.MPC_Peak,12430012063.Main_Spindle.MPC_Veff_Total,12430012063.Tool_Control_Center.Axial_Force_Tension,12430012063.Tool_Control_Center.Bending_Moment,12430012063.Tool_Control_Center.Symmetry,12430012063.X1_Axis.Actual_Power,12430012063.Y1_Axis.Actual_Power,12430012063.Z1_Axis.Actual_Feed_Rate,12430012063.Z1_Axis.Actual_Position_MCS,12430012063.Z1_Axis.Actual_Power,timeStamp,12430012063.A1_Axis.Actual_Power,12430012063.Energy_Savings.Active_Power_X1,12430012063.X1_Axis.Actual_Feed_Rate,12430012063.X1_Axis.Actual_Position_MCS,12430012063.Main_Spindle.Temperature_Spindle,12430012063.Y1_Axis.Temperature_Y_Slide,12430012063.Energy_Savings.Active_Power_Y1,12430012063.Tool_Control_Center.Axial_Force_Compression,12430012063.Y1_Axis.Actual_Feed_Rate,12430012063.Y1_Axis.Actual_Position_MCS,12430012063.Maintenance_Package.Tool_Usage_Main_lubriTOOL,Messschraube,Messtaster,Grenzlehrdorn,Ebene,Bohrung
45,45,-5.326333333333333,535.94976,172.55809523809523,0.5,951.5,1.4285714285714286,0.8,,0.5,0.3725,22.785714285714285,2.5,1051.1,-297.06541666666664,21.545454545454547,2019-12-11 09:27:30.388,7.5,489.3360000000001,-15999.444444444443,398.0022222222222,26.185,,54.20299999999999,0.15000000000000002,1999.888888888889,-344.38625,,i.O.,n.i.O.,i.O.,20,46
46,46,2.3969374999999977,557.1684210526316,180.6706779661017,0.6,951.5,1.3333333333333333,0.5,,0.5,0.5528571428571428,7.8,0.75,3225.695652173913,-299.0623913043478,18.272727272727273,2019-12-11 09:27:34.031,6.5,86.88940000000002,3601.2,359.02,,,,0.16,,,,n.i.O.,n.i.O.,i.O.,20,47
47,47,-13.535058823529413,624.5589130434782,188.61189655172416,0.4705882352941176,951.5,1.6,1.0,,0.5,0.5125,7.166666666666668,0.75,1055.451612903226,-297.18061224489804,15.307692307692307,2019-12-11 09:27:37.488,7.5,97.7166,3601.8,374.922,,,,0.15000000000000002,,,74.62,n.i.O.,n.i.O.,i.O.,20,48
48,48,-25.166937500000003,310.14754166666677,176.47089285714287,0.5263157894736842,951.5238095238096,0.3333333333333333,1.0,,0.0,0.42875,4.428571428571429,0.6,4234.636363636364,-304.1091836734694,21.454545454545453,2019-12-11 09:27:40.940,7.5,199.96775,3219.333333333333,388.14,26.185,,,0.15000000000000002,,,,n.i.O.,n.i.O.,i.O.,20,49
49,49,-5.3262777777777774,458.8910434782609,181.23649122807015,0.4761904761904762,951.4736842105265,1.6666666666666667,0.5,,0.6,0.4525,2.2,1.0,-1213.8666666666666,-302.00980392156873,19.615384615384613,2019-12-11 09:27:44.680,7.5,194.892,432.0,405.3833333333334,,,,0.15000000000000002,,,,n.i.O.,n.i.O.,i.O.,20,50
50,50,5.992062499999994,216.75482608695648,180.7319672131148,0.5909090909090909,951.5,1.5,1.0,,0.3333333333333333,0.2757142857142857,4.714285714285714,0.8,-2669.8214285714284,-297.60899999999987,17.0,2019-12-11 09:27:48.064,7.5,-264.5935,2800.5,423.775,,,,0.13333333333333333,,,,i.O.,n.i.O.,i.O.,20,51
51,51,-9.023411764705884,304.60771428571417,173.8744262295081,0.52,951.5,2.0,1.0,,0.5,0.425,9.375,1.0,-723.2307692307692,-293.34042553191483,17.90909090909091,2019-12-11 09:27:51.374,7.5,48.45219999999999,4469.25,435.2175,,,,0.15000000000000002,,,,n.i.O.,n.i.O.,i.O.,20,52
52,52,-6.767588235294122,-70.53390909090913,181.04406779661014,0.48,951.5185185185184,1.25,1.0,,0.6,0.6514285714285714,16.2,0.9,-1916.75,-295.33688888888895,20.58333333333333,2019-12-11 09:27:54.796,7.5,72.5432,3599.4,449.77,,,,0.15000000000000002,,,,i.O.,n.i.O.,i.O.,20,53
53,53,-7.8956470588235295,243.5365384615385,186.46533333333332,0.5217391304347826,951.5,1.25,0.5,,0.5,0.3825,9.625,1.0,-1163.5555555555557,-295.9249999999999,17.666666666666668,2019-12-11 09:27:58.247,7.5,74.43820000000002,3601.8,464.32,,,,0.16666666666666666,,,,n.i.O.,n.i.O.,i.O.,20,54
54,54,-6.055263157894737,352.8112083333333,182.6204918032787,0.4761904761904762,951.4782608695652,1.3333333333333333,0.5,,0.5,0.4066666666666667,22.57142857142857,2.5625,64.66666666666667,-294.0479545454545,15.454545454545455,2019-12-11 09:28:01.689,7.5,517.4569999999999,-16001.666666666664,400.1344444444445,,23.565,54.20299999999999,0.13333333333333333,2000.111111111111,-328.90666666666664,,n.i.O.,n.i.O.,i.O.,20,55
