,12430012063.A1_Axis.Actual_Power,12430012063.Energy_Savings.Active_Power_Spindle1,12430012063.Energy_Savings.Active_Power_Z1,12430012063.Main_Spindle.Actual_Position_MCS,12430012063.Main_Spindle.Actual_Power,12430012063.Main_Spindle.Actual_Speed_Rate,12430012063.Main_Spindle.MPC_Peak,12430012063.Main_Spindle.MPC_Veff_Total,12430012063.Main_Spindle.Temperature_Spindle,12430012063.Tool_Control_Center.Axial_Force_Compression,12430012063.Tool_Control_Center.Axial_Force_Tension,12430012063.Tool_Control_Center.Bending_Moment,12430012063.Tool_Control_Center.Symmetry,12430012063.Y1_Axis.Actual_Power,12430012063.Z1_Axis.Actual_Feed_Rate,12430012063.Z1_Axis.Actual_Position_MCS,12430012063.Z1_Axis.Actual_Power,timeStamp,12430012063.X1_Axis.Actual_Feed_Rate,12430012063.X1_Axis.Actual_Position_MCS,12430012063.X1_Axis.Actual_Power,12430012063.Energy_Savings.Active_Power_X1,12430012063.Maintenance_Package.Tool_Usage_Main_lubriTOOL,12430012063.Energy_Savings.Active_Power_Y1,12430012063.Y1_Axis.Actual_Feed_Rate,12430012063.Y1_Axis.Actual_Position_MCS,12430012063.C1_Axis.Actual_Power,12430012063.Y1_Axis.Temperature_Y_Slide,Label
45,6.5,-10.95695238095238,174.19849999999994,174.67571428571432,0.5,951.5714285714286,2.0,1.0,,0.05000000000000001,,0.5,0.12,1.3333333333333333,347.375,-304.0584210526315,18.071428571428573,2019-12-16 08:59:25.024,-11979.0,404.8966666666667,18.6,185.4185,,50.3495,1503.6666666666667,-343.20000000000005,,,-
46,6.5,-17.257399999999997,447.95854545454546,164.13238095238094,0.5,951.5,2.0,0.5,,0.09999999999999999,,0.3333333333333333,0.176,0.75,213.25,-304.07526315789477,15.466666666666667,2019-12-16 08:59:29.220,23.0,365.33,8.666666666666666,-190.381,,,,,,,-
47,,-21.193052631578947,608.0165454545454,193.1855,0.5454545454545454,951.4545454545455,1.7142857142857142,1.0,27.11,0.07777777777777778,,0.5,0.156,0.8,-39.44444444444444,-304.03999999999996,15.857142857142858,2019-12-16 08:59:33.419,1185.0,380.09000000000003,0.5,-65.641,,,,,,,-
48,,3.195777777777781,356.02311111111106,175.2645,0.4444444444444444,951.5,1.2,1.0,27.133999999999997,0.15,,1.0,0.16333333333333336,0.7142857142857143,-14.090909090909092,-302.51944444444445,16.714285714285715,2019-12-16 08:59:37.449,3584.5,393.79999999999995,5.75,299.1055,,,,,,,-
49,6.5,-16.298499999999997,-146.56433333333334,175.345,0.5,951.5454545454545,1.6,0.0,27.11,0.15000000000000002,,0.5,0.17500000000000002,0.7142857142857143,-117.41666666666667,-303.99473684210517,20.928571428571427,2019-12-16 08:59:41.422,4477.0,406.57,6.333333333333333,433.09400000000005,,,,,,,-
50,6.5,-14.128684210526318,-211.6019090909091,193.42499999999998,0.5,951.4285714285714,2.2,0.8,27.13,0.08333333333333333,0.05,0.3333333333333333,0.2222222222222222,0.8,17.75,-304.0331578947368,23.0,2019-12-16 08:59:45.435,3565.5,419.345,1.3333333333333333,20.978,,,,,,,-
51,6.5,-3.0276315789473727,71.04263636363636,157.50500000000002,0.5,951.5555555555555,1.2,0.5,,0.1,,1.0,0.11,0.75,253.54545454545453,-304.0673684210526,18.066666666666666,2019-12-16 08:59:49.427,1166.5,433.065,10.666666666666666,0.0,,,,,,21.5,-
52,,-13.119526315789475,373.73346153846154,188.27142857142857,0.5,951.5,2.2,0.5,,0.1,,0.4,0.185,1.0,39.214285714285715,-304.0810526315789,16.0,2019-12-16 08:59:53.436,14.5,455.33,13.0,-135.793,,,,,,21.495,-
53,,-7.456888888888892,597.1650909090908,186.467,0.5,951.4285714285714,1.6,1.0,,0.05,,0.6,0.1175,0.75,138.91666666666666,-304.0431578947368,15.214285714285714,2019-12-16 08:59:57.627,721.5,470.21500000000003,1.0,3091.8845,74.18,187.013,,,,21.495,-
54,6.6,-11.101105263157894,436.6154999999999,170.94952380952384,0.5,951.5,2.0,0.8,,0.10000000000000002,0.05,0.0,0.33909090909090905,3.1666666666666665,-273.6363636363636,-303.9926315789473,15.0,2019-12-16 09:00:01.641,-12009.333333333334,382.46666666666664,7.428571428571429,-561.2173333333333,,-14.3855,1495.6666666666667,-326.76,,21.495,-
55,,-4.793700000000003,-5.802444444444429,179.432,0.5,951.3636363636364,1.6,1.0,,0.05,,1.3333333333333333,0.21200000000000002,0.7142857142857143,-105.72727272727273,-303.9942105263158,21.166666666666668,2019-12-16 09:00:05.832,4426.5,362.16499999999996,7.25,408.7325,,,,,,21.495,-
56,6.5,-10.092052631578948,-232.66891666666675,179.512,0.5555555555555556,951.5,2.0,0.5,,0.08333333333333333,0.05,0.5,0.19499999999999998,0.7142857142857143,-26.25,-304.01842105263154,23.416666666666668,2019-12-16 09:00:09.858,3966.5,374.845,1.0,55.49,,,,,,,-
57,6.5,-7.895470588235293,-0.31083333333337276,179.59350000000003,0.45454545454545453,951.5555555555555,2.0,1.0,,0.05,,0.5,0.12777777777777777,0.5714285714285714,66.0,-304.0636842105263,23.0,2019-12-16 09:00:13.829,1742.5,388.26,7.333333333333333,0.0,,,,,,21.495,-
58,6.5,-15.137947368421052,390.00922222222215,179.675,0.5454545454545454,951.4444444444445,1.6,1.0,,0.05,,0.3333333333333333,0.14222222222222222,0.4,311.0,-304.08000000000004,17.0,2019-12-16 09:00:17.833,129.5,402.84000000000003,22.0,,,,,,,,-
59,,-10.546100000000001,621.411090909091,184.72857142857143,0.5,951.5,1.8,0.0,,0.15000000000000002,,0.5,0.121,1.0,-48.53846153846154,-304.0547368421053,15.142857142857142,2019-12-16 09:00:21.827,373.5,425.28999999999996,4.2,-213.389,,,,,,,-
60,,-9.082736842105268,480.1734545454546,172.63899999999998,0.4444444444444444,951.5,2.2,0.8,,0.05,,0.6,0.162,0.8,-105.23076923076923,-304.0226315789473,15.363636363636363,2019-12-16 09:00:26.028,2447.5,439.615,2.2,113.0105,,,,,,,-
61,,-10.5463,100.88381818181823,190.72099999999998,0.5384615384615384,951.5454545454545,2.0,1.0,,0.1,,0.5,0.11666666666666667,0.7142857142857143,-124.54545454545455,-302.5111111111111,19.818181818181817,2019-12-16 09:00:30.027,4261.0,452.745,15.0,416.176,,,,,,,-
62,6.5,-6.39166666666667,-271.9288,172.8005,0.45454545454545453,951.4444444444445,1.6666666666666667,0.5,,0.10000000000000002,,0.5,0.21444444444444444,0.7142857142857143,-115.45454545454545,-304.0131578947368,23.076923076923077,2019-12-16 09:00:34.041,4252.0,465.395,2.75,118.424,,8.22,,,,,-
63,7.0,-9.130857142857144,-208.08971428571425,170.99714285714288,0.5,951.5,1.75,0.8,27.095,0.1,,0.5,0.10666666666666667,2.2,175.15384615384616,-304.0357894736842,21.714285714285715,2019-12-16 09:00:38.027,-12002.0,400.1033333333333,27.2,-959.5735,74.17,14.3855,1504.6666666666667,-312.5,,,-
64,6.5,-3.0275789473684203,345.5728571428572,201.76450000000003,0.5,951.5454545454545,2.0,0.8,27.09,0.1,,0.5,0.169,0.5,59.69230769230769,-304.08263157894737,17.333333333333332,2019-12-16 09:00:42.234,360.0,357.87,14.0,,,,,,,,-
65,,-14.381100000000004,571.2742999999999,170.81952380952382,0.5454545454545454,951.5,2.0,1.0,27.095,,,0.5,0.14100000000000001,1.0,180.06666666666666,-304.06526315789466,15.357142857142858,2019-12-16 09:00:46.255,140.5,380.32,6.75,-199.855,,,,,,,-
66,,-20.184105263157896,587.8395454545455,176.73049999999995,0.45454545454545453,951.4545454545455,2.0,0.0,,0.15000000000000002,,0.5,0.158,0.8,-30.5,-304.02578947368414,14.083333333333334,2019-12-16 09:00:50.455,1763.5,394.895,1.0,23.008,,,,,,,-
67,,-4.036842105263159,196.39299999999997,194.8105,0.5,951.5454545454545,1.5714285714285714,1.0,27.095,0.15000000000000002,,0.5,0.178,0.7142857142857143,-230.77777777777777,-302.5105555555556,17.428571428571427,2019-12-16 09:00:54.439,3980.5,408.29499999999996,6.75,364.0695,,,,,,,-
68,6.5,-9.587300000000003,-298.6202222222223,158.89,0.5555555555555556,951.4444444444445,2.0,1.0,27.095,0.15000000000000002,,0.5,0.14,0.6666666666666666,-141.92307692307693,-303.9978947368421,23.545454545454547,2019-12-16 09:00:58.476,4422.0,420.975,2.6666666666666665,227.3745,,,,,,,-
69,6.5,0.9587500000000025,-220.82560000000004,194.97,0.45454545454545453,951.5454545454545,2.0,0.5,,0.15000000000000002,,0.3333333333333333,0.17333333333333334,0.7142857142857143,-60.90909090909091,-304.04684210526307,21.692307692307693,2019-12-16 09:01:02.430,3049.5,433.9,3.3333333333333335,3.3835,,,,,,21.53,-
